رمز المسمى,النص العربي الحالي,النص الجديد (Arabic),النص الإنجليزي
add_photos,إضافة صور,,Add photos
add_site,إضافة موقع جديد,,Add new site
add_site_hint,انقر على الخريطة لتحديد موقع الأصل الجديد,,Click on the map to place the new asset
age_m,العمر التقريبي,,Approx. age
airport_dist,يبعد,,distance
airport_m,أقرب مطار,,Nearest airport
airports_layer,المطارات,,Airports
all_govs,كل المحافظات,,All governorates
all_regions,كل المناطق,,All regions
all_types,كل الأنواع,,All types
ap_back,رجوع للخريطة,,Back to map
ap_card,بطاقة A5,,A5 card
ap_print,طباعة,,Print
ap_share,مشاركة,,Share
as_age,العمر التقريبي (سنة),,Approx. age (years)
as_cancel,إلغاء,,Cancel
as_class,التصنيف,,Classification
as_coords,الإحداثيات,,Coordinates
as_coords_req,الرجاء تحديد الموقع على الخريطة,,Please pick the location on the map
as_decay,نسبة التهدّم (٪),,Deterioration (%)
as_del_confirm,حذف هذا الموقع المُضاف نهائياً؟,,Permanently delete this added site?
as_delete,حذف هذا الموقع,,Delete this site
as_gov,المحافظة,,Governorate
as_heritage,نوع التراث,,Heritage type
as_name,اسم الموقع,,Site name
as_name_req,الرجاء إدخال اسم الموقع,,Please enter the site name
as_pick,تحديد على الخريطة,,Pick on map
as_region,المنطقة الإدارية,,Region
as_save,حفظ الموقع,,Save site
as_saved,تمت إضافة الموقع بنجاح,,Site added successfully
as_title,إضافة موقع تراثي جديد,,Add new heritage site
as_type,نوع الموقع,,Site type
as_user_badge,موقع مُضاف,,Added site
assets,أصل تراثي,,heritage assets
b_sat,قمر صناعي,,Satellite
b_standard,قياسي,,Standard
b_terrain,تضاريس,,Terrain
basic_info,المعلومات الأساسية,,Basic information
bldg,مبنى,,Building
branch_m,الفرع,,Branch
brand,السجل الوطني للتراث العمراني,,National Urban Heritage Register
cat_all,كل التصنيفات,,All categories
cat_lbl,تصنيف المبنى,,Building category
class_m,الفئة,,Class
cls_m,الفئة,,Class
cls_title,فئة الأهمية,,Significance Class
code_m,الكود,,Code
compare_pick,اختر من ٢ إلى ٤ مناطق للمقارنة:,,Pick 2 to 4 regions to compare:
compare_regions,مقارنة المناطق,,Compare regions
compare_title,مقارنة بين منطقتين,,Compare two regions
coords_m,الإحداثيات,,Coordinates
copied,تم نسخ رابط الأصل,,Asset link copied
credit_by,إعداد وتصميم,,Designed & developed by
decay_lbl,نسبة التهدّم,,Deterioration
decay_title,حالة التهدّم,,Deterioration
decayflt_lbl,نسبة التهدّم لا تقل عن,,Deterioration at least
decision_m,رقم القرار,,Decision no.
deleted,تم الحذف,,Deleted
